question_text,student_answer,grade_label,marks,combined_text
what is data redundancy,it is the unnecessary repetition of data within a database which can lead to inconsistencies,GOOD,10,what is data redundancy [SEP] it is the unnecessary repetition of data within a database which can lead to inconsistencies
what is data redundancy,database data inconsistencies redundancy within can storage waste,PARTIAL,5,what is data redundancy [SEP] database data inconsistencies redundancy within can storage waste
what is data redundancy,can,WEAK,2,what is data redundancy [SEP] can
what is data redundancy,i don t know,INCORRECT,0,what is data redundancy [SEP] i don t know
what is data redundancy,a static structure diagram that describes the structure of a system by showing the system s classes their attributes operations and relationships,INCORRECT,0,what is data redundancy [SEP] a static structure diagram that describes the structure of a system by showing the system s classes their attributes operations and relationships
what is sql structured query language,sql is a standard language for storing manipulating and retrieving data databases,GOOD,10,what is sql structured query language [SEP] sql is a standard language for storing manipulating and retrieving data databases
what is sql structured query language,manipulating structured databases standard language query data,PARTIAL,5,what is sql structured query language [SEP] manipulating structured databases standard language query data
what is sql structured query language,standard language,WEAK,2,what is sql structured query language [SEP] standard language
what is sql structured query language,malicious software designed to cause damage to a computer server client or computer network,INCORRECT,0,what is sql structured query language [SEP] malicious software designed to cause damage to a computer server client or computer network
what is sql structured query language,i don t know,INCORRECT,0,what is sql structured query language [SEP] i don t know
what is a primary key,a primary key is a specific choice of a minimal set of attributes columns that uniquely specify a tuple row in a relation table,GOOD,10,what is a primary key [SEP] a primary key is a specific choice of a minimal set of attributes columns that uniquely specify a tuple row in a relation table
what is a primary key,minimal relation columns choice tuple uniquely key table uniquely specify row,PARTIAL,5,what is a primary key [SEP] minimal relation columns choice tuple uniquely key table uniquely specify row
what is a primary key,specific,WEAK,2,what is a primary key [SEP] specific
what is a primary key,a router is a networking device that forwards data packets between computer networks,INCORRECT,0,what is a primary key [SEP] a router is a networking device that forwards data packets between computer networks
what is a primary key,i don t know,INCORRECT,0,what is a primary key [SEP] i don t know
what is a foreign key,another tables a a one between is foreign that table creating in key a field table two in link the to primary,GOOD,10,what is a foreign key [SEP] another tables a a one between is foreign that table creating in key a field table two in link the to primary
what is a foreign key,table foreign one refers to primary key primary between tables creating relationship,PARTIAL,5,what is a foreign key [SEP] table foreign one refers to primary key primary between tables creating relationship
what is a foreign key,primary,WEAK,2,what is a foreign key [SEP] primary
what is a foreign key,a variable used in a function to refer to one of the pieces of data provided as input to the function,INCORRECT,0,what is a foreign key [SEP] a variable used in a function to refer to one of the pieces of data provided as input to the function
what is a foreign key,a graphical method used for simplifying boolean algebra expressions,INCORRECT,0,what is a foreign key [SEP] a graphical method used for simplifying boolean algebra expressions
what is the prototype model in sdlc,a reworked a or and built final prototype system development early where approximation necessary tested an of as model,GOOD,10,what is the prototype model in sdlc [SEP] a reworked a or and built final prototype system development early where approximation necessary tested an of as model
what is the prototype model in sdlc,final necessary system then sdlc early approximation prototype approximation early,PARTIAL,5,what is the prototype model in sdlc [SEP] final necessary system then sdlc early approximation prototype approximation early
what is the prototype model in sdlc,reworked,WEAK,2,what is the prototype model in sdlc [SEP] reworked
what is the prototype model in sdlc,a method of implementing a telecommunications network in which two network nodes establish a dedicated communications channel circuit through the network before the nodes may communicate,INCORRECT,0,what is the prototype model in sdlc [SEP] a method of implementing a telecommunications network in which two network nodes establish a dedicated communications channel circuit through the network before the nodes may communicate
what is the prototype model in sdlc,i don t know,INCORRECT,0,what is the prototype model in sdlc [SEP] i don t know
what is black box testing,a software testing method in which the internal structure design implementation of the item being tested is not known to the tester,GOOD,10,what is black box testing [SEP] a software testing method in which the internal structure design implementation of the item being tested is not known to the tester
what is black box testing,testing tested black item box known method internal structure not known tester input output,PARTIAL,5,what is black box testing [SEP] testing tested black item box known method internal structure not known tester input output
what is black box testing,item,WEAK,2,what is black box testing [SEP] item
what is black box testing,a level of software testing where individual units components of a software are tested,INCORRECT,0,what is black box testing [SEP] a level of software testing where individual units components of a software are tested
what is black box testing,i don t know,INCORRECT,0,what is black box testing [SEP] i don t know
what is white box testing,a testing method where the internal structure design implementation of the item being tested is known to the tester,GOOD,10,what is white box testing [SEP] a testing method where the internal structure design implementation of the item being tested is known to the tester
what is white box testing,testing method design tested testing internal structure known known method white logic coverage,PARTIAL,5,what is white box testing [SEP] testing method design tested testing internal structure known known method white logic coverage
what is white box testing,white,WEAK,2,what is white box testing [SEP] white
what is white box testing,i don t know,INCORRECT,0,what is white box testing [SEP] i don t know
what is white box testing,i don t know,INCORRECT,0,what is white box testing [SEP] i don t know
what is parallel deployment,a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly,GOOD,10,what is parallel deployment [SEP] a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly
what is parallel deployment,system works new period deployment simultaneously correctly new and old system,PARTIAL,5,what is parallel deployment [SEP] system works new period deployment simultaneously correctly new and old system
what is parallel deployment,parallel,WEAK,2,what is parallel deployment [SEP] parallel
what is parallel deployment,i don t know,INCORRECT,0,what is parallel deployment [SEP] i don t know
what is parallel deployment,i don t know,INCORRECT,0,what is parallel deployment [SEP] i don t know
what is direct cutover deployment,a deployment method where the old system is stopped and the new system is started immediately usually on a specific date,GOOD,10,what is direct cutover deployment [SEP] a deployment method where the old system is stopped and the new system is started immediately usually on a specific date
what is direct cutover deployment,direct system specific deployment immediately usually date method,PARTIAL,5,what is direct cutover deployment [SEP] direct system specific deployment immediately usually date method
what is direct cutover deployment,immediately,WEAK,2,what is direct cutover deployment [SEP] immediately
what is direct cutover deployment,i don t know,INCORRECT,0,what is direct cutover deployment [SEP] i don t know
what is direct cutover deployment,requirements that define specific behaviors or functions of the system what the system should do,INCORRECT,0,what is direct cutover deployment [SEP] requirements that define specific behaviors or functions of the system what the system should do
what is a star topology,a network topology where all devices are connected to a central hub or switch via individual cables,GOOD,10,what is a star topology [SEP] a network topology where all devices are connected to a central hub or switch via individual cables
what is a star topology,connected connected individually topology all devices star individually central hub switch,PARTIAL,5,what is a star topology [SEP] connected connected individually topology all devices star individually central hub switch
what is a star topology,topology,WEAK,2,what is a star topology [SEP] topology
what is a star topology,the actual amount of data that is successfully moved from one place to another in a given time period,INCORRECT,0,what is a star topology [SEP] the actual amount of data that is successfully moved from one place to another in a given time period
what is a star topology,i don t know,INCORRECT,0,what is a star topology [SEP] i don t know
describe bus topology,a setup where each computer and network device connected to a single cable backbone,GOOD,10,describe bus topology [SEP] a setup where each computer and network device connected to a single cable backbone
describe bus topology,connected describe network computer cable backbone device terminator,PARTIAL,5,describe bus topology [SEP] connected describe network computer cable backbone device terminator
describe bus topology,backbone,WEAK,2,describe bus topology [SEP] backbone
describe bus topology,an attribute is a property or characteristic of an entity e g student name age,INCORRECT,0,describe bus topology [SEP] an attribute is a property or characteristic of an entity e g student name age
describe bus topology,you use the os remove function after importing the os module,INCORRECT,0,describe bus topology [SEP] you use the os remove function after importing the os module
what is ring topology,a network configuration where device connections create a circular data path with each networked device connected to two others,GOOD,10,what is ring topology [SEP] a network configuration where device connections create a circular data path with each networked device connected to two others
what is ring topology,circular data path connected to two others data circular connections create topology ring,PARTIAL,5,what is ring topology [SEP] circular data path connected to two others data circular connections create topology ring
what is ring topology,path,WEAK,2,what is ring topology [SEP] path
what is ring topology,a digital logic gate that gives a true 1 output when the number of true inputs is odd or typically when inputs are different,INCORRECT,0,what is ring topology [SEP] a digital logic gate that gives a true 1 output when the number of true inputs is odd or typically when inputs are different
what is ring topology,i don t know,INCORRECT,0,what is ring topology [SEP] i don t know
what is tcp ip,transmission control protocol internet protocol is the suite of communication protocols used to connect host computers on the internet,GOOD,10,what is tcp ip [SEP] transmission control protocol internet protocol is the suite of communication protocols used to connect host computers on the internet
what is tcp ip,host used hosts protocol connect communication protocols internet tcp suite,PARTIAL,5,what is tcp ip [SEP] host used hosts protocol connect communication protocols internet tcp suite
what is tcp ip,transmission,WEAK,2,what is tcp ip [SEP] transmission
what is tcp ip,a truth table is a mathematical table used in logic to compute the functional values of logical expressions based on their input combinations,INCORRECT,0,what is tcp ip [SEP] a truth table is a mathematical table used in logic to compute the functional values of logical expressions based on their input combinations
what is tcp ip,a subset of sql used to define the database structure or schema e g create alter drop,INCORRECT,0,what is tcp ip [SEP] a subset of sql used to define the database structure or schema e g create alter drop
what is the function of dns domain name system,dns translates human readable domain names like www google com into ip addresses that computers use to identify each other,GOOD,10,what is the function of dns domain name system [SEP] dns translates human readable domain names like www google com into ip addresses that computers use to identify each other
what is the function of dns domain name system,other ip human translates domain names each dns function dns name translates google com,PARTIAL,5,what is the function of dns domain name system [SEP] other ip human translates domain names each dns function dns name translates google com
what is the function of dns domain name system,dns,WEAK,2,what is the function of dns domain name system [SEP] dns
what is the function of dns domain name system,an international encoding standard for use with different languages and scripts by which each letter digit or symbol is assigned a unique numeric value,INCORRECT,0,what is the function of dns domain name system [SEP] an international encoding standard for use with different languages and scripts by which each letter digit or symbol is assigned a unique numeric value
what is the function of dns domain name system,i don t know,INCORRECT,0,what is the function of dns domain name system [SEP] i don t know
what is dhcp dynamic host configuration protocol,a network management protocol used to automatically assign ip addresses and other communication parameters to devices connected to the network,GOOD,10,what is dhcp dynamic host configuration protocol [SEP] a network management protocol used to automatically assign ip addresses and other communication parameters to devices connected to the network
what is dhcp dynamic host configuration protocol,other used connected communication automatically configuration dynamic devices assign management,PARTIAL,5,what is dhcp dynamic host configuration protocol [SEP] other used connected communication automatically configuration dynamic devices assign management
what is dhcp dynamic host configuration protocol,network,WEAK,2,what is dhcp dynamic host configuration protocol [SEP] network
what is dhcp dynamic host configuration protocol,requirements that define specific behaviors or functions of the system what the system should do,INCORRECT,0,what is dhcp dynamic host configuration protocol [SEP] requirements that define specific behaviors or functions of the system what the system should do
what is dhcp dynamic host configuration protocol,it deletes an existing table and all its data from the database,INCORRECT,0,what is dhcp dynamic host configuration protocol [SEP] it deletes an existing table and all its data from the database
difference between lan and wan,area or large lan a area office wide area area wan like devices geographic while within home covers limited a network a,GOOD,10,difference between lan and wan [SEP] area or large lan a area office wide area area wan like devices geographic while within home covers limited a network a
difference between lan and wan,geographic devices while local wan between lan home vs network home office vs cities countries,PARTIAL,5,difference between lan and wan [SEP] geographic devices while local wan between lan home vs network home office vs cities countries
difference between lan and wan,local,WEAK,2,difference between lan and wan [SEP] local
difference between lan and wan,i don t know,INCORRECT,0,difference between lan and wan [SEP] i don t know
difference between lan and wan,i don t know,INCORRECT,0,difference between lan and wan [SEP] i don t know
what is client server architecture,partitioned where a clients providers requesters service architecture and servers tasks are between network,GOOD,10,what is client server architecture [SEP] partitioned where a clients providers requesters service architecture and servers tasks are between network
what is client server architecture,service servers between request server architecture partitioned clients request,PARTIAL,5,what is client server architecture [SEP] service servers between request server architecture partitioned clients request
what is client server architecture,servers provide,WEAK,2,what is client server architecture [SEP] servers provide
what is client server architecture,a circuit that has two stable states and can be used to store state information a single bit,INCORRECT,0,what is client server architecture [SEP] a circuit that has two stable states and can be used to store state information a single bit
what is client server architecture,i don t know,INCORRECT,0,what is client server architecture [SEP] i don t know
what is peer to peer p2p network,a directly client and a computer can a where as resources decentralized sharing act a both without server server,GOOD,10,what is peer to peer p2p network [SEP] a directly client and a computer can a where as resources decentralized sharing act a both without server server
what is peer to peer p2p network,can network sharing without p2p peer architecture directly peer act no central server,PARTIAL,5,what is peer to peer p2p network [SEP] can network sharing without p2p peer architecture directly peer act no central server
what is peer to peer p2p network,resources,WEAK,2,what is peer to peer p2p network [SEP] resources
what is peer to peer p2p network,the process of organizing data in a database to reduce redundancy and improve data integrity,INCORRECT,0,what is peer to peer p2p network [SEP] the process of organizing data in a database to reduce redundancy and improve data integrity
what is peer to peer p2p network,it is a linear sequential design approach for software development where progress flows downwards through phases like requirements analysis design implementation and testing,INCORRECT,0,what is peer to peer p2p network [SEP] it is a linear sequential design approach for software development where progress flows downwards through phases like requirements analysis design implementation and testing
define data flow diagram dfd,a graphical representation of the flow of data through an information system modeling its process aspects,GOOD,10,define data flow diagram dfd [SEP] a graphical representation of the flow of data through an information system modeling its process aspects
define data flow diagram dfd,data diagram graphical representation graphical through system its dfd inputs outputs,PARTIAL,5,define data flow diagram dfd [SEP] data diagram graphical representation graphical through system its dfd inputs outputs
define data flow diagram dfd,information,WEAK,2,define data flow diagram dfd [SEP] information
define data flow diagram dfd,a communication mode where data can flow in both directions but not simultaneously e g walkie talkie,INCORRECT,0,define data flow diagram dfd [SEP] a communication mode where data can flow in both directions but not simultaneously e g walkie talkie
define data flow diagram dfd,it is used to create a new table in a database,INCORRECT,0,define data flow diagram dfd [SEP] it is used to create a new table in a database
what is a context diagram level 0 dfd,the highest level view of system showing system as a single and its with external entities,GOOD,10,what is a context diagram level 0 dfd [SEP] the highest level view of system showing system as a single and its with external entities
what is a context diagram level 0 dfd,interaction diagram system level highest level showing context view,PARTIAL,5,what is a context diagram level 0 dfd [SEP] interaction diagram system level highest level showing context view
what is a context diagram level 0 dfd,highest,WEAK,2,what is a context diagram level 0 dfd [SEP] highest
what is a context diagram level 0 dfd,i don t know,INCORRECT,0,what is a context diagram level 0 dfd [SEP] i don t know
what is a context diagram level 0 dfd,it holds the memory address of the next instruction to be fetched and executed by the cpu,INCORRECT,0,what is a context diagram level 0 dfd [SEP] it holds the memory address of the next instruction to be fetched and executed by the cpu
what represents a data store in a dfd,a data represents a repository where data is stored for later use depicted by open ended rectangle,GOOD,10,what represents a data store in a dfd [SEP] a data represents a repository where data is stored for later use depicted by open ended rectangle
what represents a data store in a dfd,later stored data data repository rectangle open repository data,PARTIAL,5,what represents a data store in a dfd [SEP] later stored data data repository rectangle open repository data
what represents a data store in a dfd,ended,WEAK,2,what represents a data store in a dfd [SEP] ended
what represents a data store in a dfd,a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly,INCORRECT,0,what represents a data store in a dfd [SEP] a deployment method where the new system and the old system run simultaneously for a period of time to ensure the new system works correctly
what represents a data store in a dfd,a truth table is a mathematical table used in logic to compute the functional values of logical expressions based on their input combinations,INCORRECT,0,what represents a data store in a dfd [SEP] a truth table is a mathematical table used in logic to compute the functional values of logical expressions based on their input combinations
what is an external entity in systems analysis,a or destination of data that is boundaries of the system being studied e g customer supplier,GOOD,10,what is an external entity in systems analysis [SEP] a or destination of data that is boundaries of the system being studied e g customer supplier
what is an external entity in systems analysis,analysis destination boundaries systems entity source or destination outside external interacting system,PARTIAL,5,what is an external entity in systems analysis [SEP] analysis destination boundaries systems entity source or destination outside external interacting system
what is an external entity in systems analysis,source,WEAK,2,what is an external entity in systems analysis [SEP] source
what is an external entity in systems analysis,the final phase of testing where the end user verifies that the system works for the real world business scenarios,INCORRECT,0,what is an external entity in systems analysis [SEP] the final phase of testing where the end user verifies that the system works for the real world business scenarios
what is an external entity in systems analysis,a linear sequential software development life cycle sdlc model where progress flows downwards through phases like requirements design implementation and maintenance,INCORRECT,0,what is an external entity in systems analysis [SEP] a linear sequential software development life cycle sdlc model where progress flows downwards through phases like requirements design implementation and maintenance
what is a candidate key,a candidate key a column set of columns in a table uniquely identify database record without referring to any other data,GOOD,10,what is a candidate key [SEP] a candidate key a column set of columns in a table uniquely identify database record without referring to any other data
what is a candidate key,set record table any column data can database candidate other minimal,PARTIAL,5,what is a candidate key [SEP] set record table any column data can database candidate other minimal
what is a candidate key,set,WEAK,2,what is a candidate key [SEP] set
what is a candidate key,the time taken for the read write head to move to the specific track on the disk,INCORRECT,0,what is a candidate key [SEP] the time taken for the read write head to move to the specific track on the disk
what is a candidate key,a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once,INCORRECT,0,what is a candidate key [SEP] a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once
what is a composite key,a primary key that consists of two or more columns attributes to uniquely identify a record,GOOD,10,what is a composite key [SEP] a primary key that consists of two or more columns attributes to uniquely identify a record
what is a composite key,two or more columns two key identify columns more attributes,PARTIAL,5,what is a composite key [SEP] two or more columns two key identify columns more attributes
what is a composite key,columns,WEAK,2,what is a composite key [SEP] columns
what is a composite key,a sequence of characters enclosed in single or double quotes,INCORRECT,0,what is a composite key [SEP] a sequence of characters enclosed in single or double quotes
what is a composite key,i don t know,INCORRECT,0,what is a composite key [SEP] i don t know
define cardinality in er diagrams,cardinality defines the numerical attributes of the relationship between two entities e g one to one one to many,GOOD,10,define cardinality in er diagrams [SEP] cardinality defines the numerical attributes of the relationship between two entities e g one to one one to many
define cardinality in er diagrams,numerical attributes define relationship relationship er cardinality two many,PARTIAL,5,define cardinality in er diagrams [SEP] numerical attributes define relationship relationship er cardinality two many
define cardinality in er diagrams,er,WEAK,2,define cardinality in er diagrams [SEP] er
define cardinality in er diagrams,it ensures reliable data transfer flow control and error correction e g tcp udp,INCORRECT,0,define cardinality in er diagrams [SEP] it ensures reliable data transfer flow control and error correction e g tcp udp
define cardinality in er diagrams,a primary key is a specific choice of a minimal set of attributes columns that uniquely specify a tuple row in a relation table,INCORRECT,0,define cardinality in er diagrams [SEP] a primary key is a specific choice of a minimal set of attributes columns that uniquely specify a tuple row in a relation table
what is a one to many relationship,a relationship where a record in table a can be related to or more records in table b but a record in table b is related to only one record in table a,GOOD,10,what is a one to many relationship [SEP] a relationship where a record in table a can be related to or more records in table b but a record in table b is related to only one record in table a
what is a one to many relationship,more relationship single record table one many single record related to multiple,PARTIAL,5,what is a one to many relationship [SEP] more relationship single record table one many single record related to multiple
what is a one to many relationship,table,WEAK,2,what is a one to many relationship [SEP] table
what is a one to many relationship,i don t know,INCORRECT,0,what is a one to many relationship [SEP] i don t know
what is a one to many relationship,i don t know,INCORRECT,0,what is a one to many relationship [SEP] i don t know
what is ddl data definition language,a subset of used to define the database structure or schema e g create drop,GOOD,10,what is ddl data definition language [SEP] a subset of used to define the database structure or schema e g create drop
what is ddl data definition language,define used create subset database alter language definition,PARTIAL,5,what is ddl data definition language [SEP] define used create subset database alter language definition
what is ddl data definition language,define database structure,WEAK,2,what is ddl data definition language [SEP] define database structure
what is ddl data definition language,data can be transmitted in both directions but not at the same time e g walkie talkie,INCORRECT,0,what is ddl data definition language [SEP] data can be transmitted in both directions but not at the same time e g walkie talkie
what is ddl data definition language,it writes an analog value pwm wave to a pin typically used to fade an led or control motor speed,INCORRECT,0,what is ddl data definition language [SEP] it writes an analog value pwm wave to a pin typically used to fade an led or control motor speed
what is dml data manipulation language,a subset of sql for retrieving updating and deleting data within the database g select insert,GOOD,10,what is dml data manipulation language [SEP] a subset of sql for retrieving updating and deleting data within the database g select insert
what is dml data manipulation language,retrieving managing adding retrieving updating updating managing data insert subset select within,PARTIAL,5,what is dml data manipulation language [SEP] retrieving managing adding retrieving updating updating managing data insert subset select within
what is dml data manipulation language,subset,WEAK,2,what is dml data manipulation language [SEP] subset
what is dml data manipulation language,i don t know,INCORRECT,0,what is dml data manipulation language [SEP] i don t know
what is dml data manipulation language,i don t know,INCORRECT,0,what is dml data manipulation language [SEP] i don t know
what is 1nf first normal form,a property of a relation in a relational database where the table has no repeating groups and all attributes are atomic,GOOD,10,what is 1nf first normal form [SEP] a property of a relation in a relational database where the table has no repeating groups and all attributes are atomic
what is 1nf first normal form,groups attributes normal no no repeating groups all relation atomic attributes repeating unique rows,PARTIAL,5,what is 1nf first normal form [SEP] groups attributes normal no no repeating groups all relation atomic attributes repeating unique rows
what is 1nf first normal form,groups,WEAK,2,what is 1nf first normal form [SEP] groups
what is 1nf first normal form,the practice of dividing a single physical network into two or more smaller logical sub networks subnets to improve efficiency and security,INCORRECT,0,what is 1nf first normal form [SEP] the practice of dividing a single physical network into two or more smaller logical sub networks subnets to improve efficiency and security
what is 1nf first normal form,whitespace at the beginning of a line used to define the scope of loops functions and control structures blocks of code,INCORRECT,0,what is 1nf first normal form [SEP] whitespace at the beginning of a line used to define the scope of loops functions and control structures blocks of code
what is 2nf second normal form,a relation is in 2nf if it is in 1nf and every non primary key attribute is fully functionally dependent on the primary key no partial dependency,GOOD,10,what is 2nf second normal form [SEP] a relation is in 2nf if it is in 1nf and every non primary key attribute is fully functionally dependent on the primary key no partial dependency
what is 2nf second normal form,form 1nf dependent every if no relation 2nf functionally primary primary key,PARTIAL,5,what is 2nf second normal form [SEP] form 1nf dependent every if no relation 2nf functionally primary primary key
what is 2nf second normal form,partial,WEAK,2,what is 2nf second normal form [SEP] partial
what is 2nf second normal form,physical data link network transport session presentation application,INCORRECT,0,what is 2nf second normal form [SEP] physical data link network transport session presentation application
what is 2nf second normal form,the topmost layer that provides network services directly to end users and applications e g http ftp smtp,INCORRECT,0,what is 2nf second normal form [SEP] the topmost layer that provides network services directly to end users and applications e g http ftp smtp
what is 3nf third normal form,a is in if is in 2nf and no dependencies non key attributes only the primary key,GOOD,10,what is 3nf third normal form [SEP] a is in if is in 2nf and no dependencies non key attributes only the primary key
what is 3nf third normal form,has primary no transitive dependency 3nf key third normal form non no,PARTIAL,5,what is 3nf third normal form [SEP] has primary no transitive dependency 3nf key third normal form non no
what is 3nf third normal form,no,WEAK,2,what is 3nf third normal form [SEP] no
what is 3nf third normal form,it is the unnecessary repetition of data within a database which can lead to inconsistencies,INCORRECT,0,what is 3nf third normal form [SEP] it is the unnecessary repetition of data within a database which can lead to inconsistencies
what is 3nf third normal form,a testing method that tests internal structures or workings of an application as opposed to its functionality,INCORRECT,0,what is 3nf third normal form [SEP] a testing method that tests internal structures or workings of an application as opposed to its functionality
what is the waterfall model,a linear sequential software development life cycle sdlc model where progress flows downwards through phases like requirements design implementation and maintenance,GOOD,10,what is the waterfall model [SEP] a linear sequential software development life cycle sdlc model where progress flows downwards through phases like requirements design implementation and maintenance
what is the waterfall model,implementation development model cycle maintenance linear sequential progress model flows waterfall linear structured,PARTIAL,5,what is the waterfall model [SEP] implementation development model cycle maintenance linear sequential progress model flows waterfall linear structured
what is the waterfall model,like,WEAK,2,what is the waterfall model [SEP] like
what is the waterfall model,a level of software testing where individual units components of a software are tested,INCORRECT,0,what is the waterfall model [SEP] a level of software testing where individual units components of a software are tested
what is the waterfall model,testing individual components or modules of a software application to validate that each unit performs as designed,INCORRECT,0,what is the waterfall model [SEP] testing individual components or modules of a software application to validate that each unit performs as designed
what is prototyping in sdlc,an iterative development technique where a preliminary version of the software is created to get user feedback before full development,GOOD,10,what is prototyping in sdlc [SEP] an iterative development technique where a preliminary version of the software is created to get user feedback before full development
what is prototyping in sdlc,preliminary full technique software before get sdlc iterative,PARTIAL,5,what is prototyping in sdlc [SEP] preliminary full technique software before get sdlc iterative
what is prototyping in sdlc,get,WEAK,2,what is prototyping in sdlc [SEP] get
what is prototyping in sdlc,a logical addressing scheme used to identify devices on a network allowing them to communicate with each other e g 192 168 1 1,INCORRECT,0,what is prototyping in sdlc [SEP] a logical addressing scheme used to identify devices on a network allowing them to communicate with each other e g 192 168 1 1
what is prototyping in sdlc,a static structure diagram that describes the structure of a system by showing the system s classes their attributes operations and relationships,INCORRECT,0,what is prototyping in sdlc [SEP] a static structure diagram that describes the structure of a system by showing the system s classes their attributes operations and relationships
what is phased implementation,a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once,GOOD,10,what is phased implementation [SEP] a deployment strategy where the new system is implemented in stages or modules across the organization rather than all at once
what is phased implementation,implementation stages implemented once system deployment organization than,PARTIAL,5,what is phased implementation [SEP] implementation stages implemented once system deployment organization than
what is phased implementation,than,WEAK,2,what is phased implementation [SEP] than
what is phased implementation,multiplexing is a method by which multiple analog or digital signals are combined into one signal over a shared medium,INCORRECT,0,what is phased implementation [SEP] multiplexing is a method by which multiple analog or digital signals are combined into one signal over a shared medium
what is phased implementation,it opens a file for reading only this is the default mode,INCORRECT,0,what is phased implementation [SEP] it opens a file for reading only this is the default mode
what is parallel implementation,running both the old and new systems simultaneously for period to ensure the new functions correctly before turning off the old one,GOOD,10,what is parallel implementation [SEP] running both the old and new systems simultaneously for period to ensure the new functions correctly before turning off the old one
what is parallel implementation,ensure system off systems running old and new before implementation one parallel comparison,PARTIAL,5,what is parallel implementation [SEP] ensure system off systems running old and new before implementation one parallel comparison
what is parallel implementation,correctly,WEAK,2,what is parallel implementation [SEP] correctly
what is parallel implementation,volatile memory is computer storage that only maintains its data while the device is powered e g ram,INCORRECT,0,what is parallel implementation [SEP] volatile memory is computer storage that only maintains its data while the device is powered e g ram
what is parallel implementation,spooling is a process where data is temporarily held to be used and executed by a device program or system common in printing,INCORRECT,0,what is parallel implementation [SEP] spooling is a process where data is temporarily held to be used and executed by a device program or system common in printing
what is an html attribute,its to of html the additional within an element start presentation src provided or behavior e information modify g,GOOD,10,what is an html attribute [SEP] its to of html the additional within an element start presentation src provided or behavior e information modify g
what is an html attribute,html modify start tag its element behavior provided information properties,PARTIAL,5,what is an html attribute [SEP] html modify start tag its element behavior provided information properties
what is an html attribute,within,WEAK,2,what is an html attribute [SEP] within
what is an html attribute,a problem where a process is perpetually denied necessary resources to process its work,INCORRECT,0,what is an html attribute [SEP] a problem where a process is perpetually denied necessary resources to process its work
what is an html attribute,a method of grouping data that is transmitted over a digital network into packets which are sent independently and reassembled at the destination,INCORRECT,0,what is an html attribute [SEP] a method of grouping data that is transmitted over a digital network into packets which are sent independently and reassembled at the destination
what does the ul tag create,it creates an unordered list typically displayed with bullet points,GOOD,10,what does the ul tag create [SEP] it creates an unordered list typically displayed with bullet points
what does the ul tag create,create bullet points unordered list bullet ul points li,PARTIAL,5,what does the ul tag create [SEP] create bullet points unordered list bullet ul points li
what does the ul tag create,bullet points,WEAK,2,what does the ul tag create [SEP] bullet points
what does the ul tag create,malicious software designed to cause damage to a computer server client or computer network,INCORRECT,0,what does the ul tag create [SEP] malicious software designed to cause damage to a computer server client or computer network
what does the ul tag create,i don t know,INCORRECT,0,what does the ul tag create [SEP] i don t know
what does the ol tag create,it creates an ordered displayed with numbers or letters,GOOD,10,what does the ol tag create [SEP] it creates an ordered displayed with numbers or letters
what does the ol tag create,does ordered create displayed ol creates,PARTIAL,5,what does the ol tag create [SEP] does ordered create displayed ol creates
what does the ol tag create,tag,WEAK,2,what does the ol tag create [SEP] tag
what does the ol tag create,data implies raw facts and figures which have no specific meaning until processed,INCORRECT,0,what does the ol tag create [SEP] data implies raw facts and figures which have no specific meaning until processed
what does the ol tag create,a system bus is a single computer bus that connects the major components of a computer system combining the functions of a data address and control bus,INCORRECT,0,what does the ol tag create [SEP] a system bus is a single computer bus that connects the major components of a computer system combining the functions of a data address and control bus
what is internal css,css styles defined within the style element inside the head section of an html page,GOOD,10,what is internal css [SEP] css styles defined within the style element inside the head section of an html page
what is internal css,internal defined styles css style html section css single page,PARTIAL,5,what is internal css [SEP] internal defined styles css style html section css single page
what is internal css,head,WEAK,2,what is internal css [SEP] head
what is internal css,testing where individual units are combined and tested as a group to expose faults in the interaction between integrated units,INCORRECT,0,what is internal css [SEP] testing where individual units are combined and tested as a group to expose faults in the interaction between integrated units
what is internal css,additional information provided within the start tag of an html element to modify its behavior or presentation e g src href,INCORRECT,0,what is internal css [SEP] additional information provided within the start tag of an html element to modify its behavior or presentation e g src href
what is inline css,the html style element using styles css attribute,GOOD,10,what is inline css [SEP] the html style element using styles css attribute
what is inline css,using styles element html applied directly css priority,PARTIAL,5,what is inline css [SEP] using styles element html applied directly css priority
what is inline css,inline,WEAK,2,what is inline css [SEP] inline
what is inline css,a graphical representation of the flow of data through an information system modeling its process aspects,INCORRECT,0,what is inline css [SEP] a graphical representation of the flow of data through an information system modeling its process aspects
what is inline css,whitespace at the beginning of a line used to define the scope of loops functions and control structures blocks of code,INCORRECT,0,what is inline css [SEP] whitespace at the beginning of a line used to define the scope of loops functions and control structures blocks of code
what is an interpreter in python,and line program line reads bytecode a fly converting python by into executes readable code,GOOD,10,what is an interpreter in python [SEP] and line program line reads bytecode a fly converting python by into executes readable code
what is an interpreter in python,machine python converting code reads code reads bytecode translation,PARTIAL,5,what is an interpreter in python [SEP] machine python converting code reads code reads bytecode translation
